cluster_id,exchange,date,window_id,capital_state_candidate,confidence,direction_candidate,hit2,hit2_5,hit3,loss,timeout,evidence_summary,why_this_state,why_not_other_state,notes
W1-SHORT-0,Bybit,2025-11-19,W1,UNKNOWN,0.2,SHORT,1,0,0,0,0,insufficient evidence,cannot classify honestly,—,depth_imb=0.1235 pm60=None bounce=0.674
W1-SHORT-1,Bybit,2025-11-19,W1,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,0,1,bounce>=0.4% into pivot; ask-heavy depth (supply); down/flat background,"buyers stall, sellers reload at highs",not active markdown: required a bounce first,depth_imb=-0.411 pm60=-0.425 bounce=0.733
W1-SHORT-2,Bybit,2025-11-19,W1,UNKNOWN,0.2,SHORT,1,0,0,0,0,insufficient evidence,cannot classify honestly,—,depth_imb=-0.1657 pm60=-0.027 bounce=0.275
W1-SHORT-3,Bybit,2025-11-19,W1,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,1,0,bounce>=0.4% into pivot; ask-heavy depth (supply); down/flat background,"buyers stall, sellers reload at highs",not active markdown: required a bounce first,depth_imb=-0.2229 pm60=-0.362 bounce=0.657
W1-SHORT-4,Bybit,2025-11-20,W1,NO_CONTROL_CHOP,0.4,SHORT,0,0,0,1,0,depth_imb ~0; no clear control,"flow flips, no capital control",no dominant side,depth_imb=-0.0105 pm60=0.243 bounce=0.542
W1-SHORT-5,Bybit,2025-11-20,W1,UNKNOWN,0.2,SHORT,1,0,0,0,0,insufficient evidence,cannot classify honestly,—,depth_imb=0.3387 pm60=-0.164 bounce=0.283
W1-SHORT-6,Bybit,2025-11-20,W1,UNKNOWN,0.2,SHORT,1,0,0,0,0,insufficient evidence,cannot classify honestly,—,depth_imb=0.2704 pm60=-0.288 bounce=0.477
W1-SHORT-7,Bybit,2025-11-20,W1,UNKNOWN,0.2,SHORT,0,0,0,0,1,insufficient evidence,cannot classify honestly,—,depth_imb=0.2172 pm60=-0.205 bounce=0.898
W1-SHORT-8,Bybit,2025-11-21,W1,UNKNOWN,0.2,SHORT,1,0,0,0,0,insufficient evidence,cannot classify honestly,—,depth_imb=0.2661 pm60=-0.446 bounce=0.665
W1-SHORT-9,Bybit,2025-11-21,W1,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,1,1,1,0,0,bounce>=0.4% into pivot; ask-heavy depth (supply); down/flat background,"buyers stall, sellers reload at highs",not active markdown: required a bounce first,depth_imb=-0.2416 pm60=-0.125 bounce=0.697
W1-SHORT-10,Bybit,2025-11-21,W1,UNKNOWN,0.2,SHORT,1,0,0,0,0,insufficient evidence,cannot classify honestly,—,depth_imb=0.0703 pm60=-1.187 bounce=1.033
