regime,start_date,end_date,days,score,net_pct_span,median_daily_range_pct,max_daily_range_pct,have_locally,venue_data_needed,research_purpose,reason
TREND_UP,2026-03-04,2026-03-04,1,20.77,6.37,9.77,9.77,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),calibrate trend-continuation longs / TU module (missing in 05-03..20),3d 10.5% / 7d None%
TREND_UP,2026-03-10,2026-03-16,6,12.14,9.44,3.35,4.98,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),calibrate trend-continuation longs / TU module (missing in 05-03..20),3d 3.99% / 7d 2.37%
TREND_DOWN,2026-03-27,2026-03-30,4,11.94,-2.96,3.49,5.31,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),validate TD-short module out-of-sample,3d -5.9% / 7d -5.84%
TREND_DOWN,2026-03-19,2026-03-23,4,11.42,-0.49,3.81,6.43,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),validate TD-short module out-of-sample,3d -6.62% / 7d -0.84%
TREND_DOWN,2026-03-07,2026-03-08,2,11.26,-3.14,3.15,3.87,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),validate TD-short module out-of-sample,3d -7.46% / 7d None%
TREND_DOWN,2026-05-28,2026-05-29,2,9.84,-2.04,3.06,3.76,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),validate TD-short module out-of-sample,3d -6.05% / 7d None%
HIGH_VOL,2026-03-23,2026-03-23,1,9.7,4.47,6.43,6.43,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),stress strong-move separation; most 2%+ opportunities,range 6.43% vs prior med 3.66%
TREND_DOWN,2026-05-17,2026-05-18,2,9.44,-2.32,2.13,3.12,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),validate TD-short module out-of-sample,3d -3.99% / 7d -4.14%
TREND_DOWN,2026-05-13,2026-05-13,1,8.59,-1.85,3.18,3.18,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),validate TD-short module out-of-sample,3d -3.16% / 7d -3.5%
HIGH_VOL,2026-03-18,2026-03-18,1,8.49,-3.6,5.67,5.67,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),stress strong-move separation; most 2%+ opportunities,range 5.67% vs prior med 3.35%
REVERSAL_SWEEP,2024-08-01,2024-08-01,1,8.3,1.11,5.25,5.25,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 3.66% vs net 1.11%
TREND_UP,2026-03-25,2026-03-25,1,8.0,1.11,2.31,2.31,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),calibrate trend-continuation longs / TU module (missing in 05-03..20),3d 5.12% / 7d 0.13%
REVERSAL_SWEEP,2026-03-10,2026-03-13,3,7.74,3.67,4.98,5.0,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 2.69% vs net 2.23%
HIGH_VOL,2026-03-26,2026-03-27,2,7.4,-6.93,4.97,5.31,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),stress strong-move separation; most 2%+ opportunities,range 4.63% vs prior med 3.54%
TREND_UP,2026-05-06,2026-05-06,1,6.98,0.21,2.63,2.63,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),calibrate trend-continuation longs / TU module (missing in 05-03..20),3d 3.85% / 7d None%
REVERSAL_SWEEP,2026-03-01,2026-03-03,2,6.96,2.03,4.68,4.74,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 1.86% vs net -1.79%
HIGH_VOL,2026-05-13,2026-05-15,3,6.18,-1.46,3.26,4.2,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),stress strong-move separation; most 2%+ opportunities,range 3.18% vs prior med 2.41%
HIGH_VOL,2026-05-23,2026-05-23,1,6.11,-1.67,3.77,3.77,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),stress strong-move separation; most 2%+ opportunities,range 3.77% vs prior med 1.93%
REVERSAL_SWEEP,2026-03-24,2026-03-24,1,5.9,-0.48,3.54,3.54,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 2.34% vs net -0.48%
