regime,start_date,end_date,span_net_pct_month,median_daily_range_pct,max_daily_range_pct,why_selected,tests_pattern,local,priority,files_to_download
TREND_UP,2024-02-01,2024-02-10,44.81,download_to_measure,download_to_measure,month 2024-02 MoM 44.81% = strong TREND_UP,TU-long / trend-continuation,NO,HIGH,OKX BTC-USDT-SWAP L2+trades for 2024-02 (>=5-10 contiguous UTC days); then re-scan daily to pick exact window
TREND_UP,2024-11-01,2024-11-10,39.86,download_to_measure,download_to_measure,month 2024-11 MoM 39.86% = strong TREND_UP,TU-long / trend-continuation,NO,HIGH,OKX BTC-USDT-SWAP L2+trades for 2024-11 (>=5-10 contiguous UTC days); then re-scan daily to pick exact window
TREND_UP,2024-05-01,2024-05-10,16.18,download_to_measure,download_to_measure,month 2024-05 MoM 16.18% = strong TREND_UP,TU-long / trend-continuation,NO,HIGH,OKX BTC-USDT-SWAP L2+trades for 2024-05 (>=5-10 contiguous UTC days); then re-scan daily to pick exact window
TREND_DOWN,2025-11-01,2025-11-10,-21.63,download_to_measure,download_to_measure,month 2025-11 MoM -21.63% = strong TREND_DOWN,TD-short / trend-continuation,NO,HIGH,OKX BTC-USDT-SWAP L2+trades for 2025-11 (>=5-10 contiguous UTC days); then re-scan daily to pick exact window
TREND_DOWN,2024-04-01,2024-04-10,-16.28,download_to_measure,download_to_measure,month 2024-04 MoM -16.28% = strong TREND_DOWN,TD-short / trend-continuation,NO,HIGH,OKX BTC-USDT-SWAP L2+trades for 2024-04 (>=5-10 contiguous UTC days); then re-scan daily to pick exact window
TREND_DOWN,2026-02-01,2026-02-10,-14.56,download_to_measure,download_to_measure,month 2026-02 MoM -14.56% = strong TREND_DOWN,TD-short / trend-continuation,NO,HIGH,OKX BTC-USDT-SWAP L2+trades for 2026-02 (>=5-10 contiguous UTC days); then re-scan daily to pick exact window
RANGE,2024-01-01,2024-01-10,-2.56,download_to_measure,download_to_measure,month 2024-01 flat MoM -2.56% = RANGE OOS (fresh),range-fade / accumulation-distribution,NO,MED,OKX L2+trades for 2024-01 (>=7 days)
RANGE,2024-07-01,2024-07-10,3.89,download_to_measure,download_to_measure,month 2024-07 flat MoM 3.89% = RANGE OOS (fresh),range-fade / accumulation-distribution,NO,MED,OKX L2+trades for 2024-07 (>=7 days)
HIGH_VOL,2026-05-13,2026-05-15,-1.46,3.26,4.2,"local non-March HIGH_VOL window (secondary sanity, May)",stress strong-move separation; most 2%+ opportunities,"YES (May 2026 — secondary sanity only, overlaps mining month)",LOW,none (already local)
HIGH_VOL,2026-05-23,2026-05-23,-1.67,3.77,3.77,"local non-March HIGH_VOL window (secondary sanity, May)",stress strong-move separation; most 2%+ opportunities,"YES (May 2026 — secondary sanity only, overlaps mining month)",LOW,none (already local)
REVERSAL_SWEEP,2024-08-01,2024-08-01,1.11,5.25,5.25,"local non-March REVERSAL_SWEEP window (secondary sanity, May)",sweep-reversal + false-breakout reclaim setups,"YES (May 2026 — secondary sanity only, overlaps mining month)",LOW,none (already local)
