date,zone_id,direction,stage_max,confidence,evidence_count,confirmed_iso,trigger_iso,zone_low,zone_high,engine_class,filter_kept,summary
2026-03-16,BTC-USDT-SWAP-LONG-1773619553000-1,LONG,confirmed,MID,4,2026-03-16T00:09:04+00:00,,72849.107225,72937.45,invalidated_or_expired,,LONG because absorb score 0.612 (bid absorbed sells); range compression observed; 79 defense cycles seen; zone defended for 191 s
2026-03-16,BTC-USDT-SWAP-SHORT-1773620946000-4,SHORT,trigger,HIGH,7,2026-03-16T00:47:37+00:00,2026-03-16T01:05:02+00:00,72415.05,72654.05,failed_triggered,True,SHORT because absorb score 0.605 (ask absorbed buys); range compression observed; 21 defense cycles seen; zone defended for 1111 s; OFI score -0.208 (sell-side); trigger flow multiplier 2.32x; break 0.066% below zone
2026-03-16,BTC-USDT-SWAP-SHORT-1773623053000-5,SHORT,confirmed,HIGH,5,2026-03-16T01:11:28+00:00,,72331.65,72449.95,invalidated_or_expired,,SHORT because absorb score 0.630 (ask absorbed buys); range compression observed; 15 defense cycles seen; zone defended for 435 s; OFI score -0.085 (sell-side)
2026-03-16,BTC-USDT-SWAP-SHORT-1773626785000-7,SHORT,trigger,HIGH,8,2026-03-16T02:09:25+00:00,2026-03-16T02:27:51+00:00,72679.492075,72780.75,failed_triggered,True,SHORT because aggressive buying pressure 0.653 (absorbed); absorb score 0.718 (ask absorbed buys); range compression observed; 76 defense cycles seen; zone defended for 180 s; OFI score -0.218 (sell-side); trigger flow multiplier 1.40x; break 0.452% below zone
2026-03-16,BTC-USDT-SWAP-SHORT-1773628369000-8,SHORT,confirmed,HIGH,5,2026-03-16T02:35:49+00:00,,72310.676575,72383.023425,invalidated_or_expired,,SHORT because absorb score 0.610 (ask absorbed buys); range compression observed; 131 defense cycles seen; zone defended for 180 s; OFI score -0.168 (sell-side)
2026-03-16,BTC-USDT-SWAP-LONG-1773620182000-2,LONG,trigger,HIGH,8,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,72463.15,72829.95,primary_unique_reached_move,False,LONG because aggressive selling pressure 0.636 (absorbed); absorb score 0.700 (bid absorbed sells); range compression observed; 28 defense cycles seen; zone defended for 1265 s; OFI score 0.209 (buy-side); trigger flow multiplier 1.95x; break 0.206% above zone
2026-03-16,BTC-USDT-SWAP-LONG-1773620204000-3,LONG,trigger,HIGH,8,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,72463.15,72836.34997499999,duplicate_reached_move,False,LONG because aggressive selling pressure 0.604 (absorbed); absorb score 0.665 (bid absorbed sells); range compression observed; 6 defense cycles seen; zone defended for 1243 s; OFI score 0.196 (buy-side); trigger flow multiplier 2.04x; break 0.197% above zone
2026-03-16,BTC-USDT-SWAP-LONG-1773623888000-6,LONG,trigger,HIGH,7,2026-03-16T01:57:01+00:00,2026-03-16T03:30:42+00:00,72290.686575,72824.95,duplicate_reached_move,False,LONG because absorb score 0.635 (bid absorbed sells); range compression observed; 6 defense cycles seen; zone defended for 2333 s; OFI score -0.125 (WARNING: sell-side); trigger flow multiplier 1.53x; break 0.213% above zone
2026-03-16,BTC-USDT-SWAP-SHORT-1773633161000-9,SHORT,confirmed,HIGH,5,2026-03-16T04:01:50+00:00,,73539.15,73738.75,invalidated_or_expired,,SHORT because absorb score 0.626 (ask absorbed buys); range compression observed; 12 defense cycles seen; zone defended for 549 s; OFI score 0.085 (WARNING: buy-side)
2026-03-16,BTC-USDT-SWAP-SHORT-1773634922000-11,SHORT,confirmed,HIGH,5,2026-03-16T04:30:03+00:00,,73562.65,74035.05,invalidated_or_expired,,SHORT because absorb score 0.615 (ask absorbed buys); range compression observed; 10 defense cycles seen; zone defended for 481 s; OFI score 0.153 (WARNING: buy-side)
2026-03-16,BTC-USDT-SWAP-SHORT-1773638712000-12,SHORT,trigger,HIGH,6,2026-03-16T05:29:00+00:00,2026-03-16T06:07:20+00:00,73848.90707500001,73942.95,failed_triggered,True,SHORT because absorb score 0.635 (ask absorbed buys); range compression observed; 29 defense cycles seen; zone defended for 228 s; trigger flow multiplier 1.55x; break 0.051% below zone
2026-03-16,BTC-USDT-SWAP-SHORT-1773639024000-13,SHORT,trigger,HIGH,7,2026-03-16T05:33:32+00:00,2026-03-16T06:12:23+00:00,73688.05,73866.965025,failed_triggered,False,SHORT because absorb score 0.607 (ask absorbed buys); range compression observed; 97 defense cycles seen; zone defended for 188 s; OFI score -0.286 (sell-side); trigger flow multiplier 3.72x; break 0.052% below zone
2026-03-16,BTC-USDT-SWAP-SHORT-1773640454000-15,SHORT,trigger,HIGH,7,2026-03-16T06:01:26+00:00,2026-03-16T06:12:32+00:00,73962.15,74221.35,failed_triggered,False,SHORT because absorb score 0.613 (ask absorbed buys); range compression observed; 14 defense cycles seen; zone defended for 432 s; OFI score -0.158 (sell-side); trigger flow multiplier 1.61x; break 0.496% below zone
2026-03-16,BTC-USDT-SWAP-SHORT-1773640886000-16,SHORT,trigger,HIGH,7,2026-03-16T06:20:42+00:00,2026-03-16T07:41:10+00:00,73572.45,74158.810875,failed_triggered,False,SHORT because aggressive buying pressure 0.622 (absorbed); absorb score 0.684 (ask absorbed buys); range compression observed; 68 defense cycles seen; zone defended for 1156 s; trigger flow multiplier 1.41x; break 0.077% below zone
2026-03-16,BTC-USDT-SWAP-LONG-1773641764000-17,LONG,confirmed,HIGH,5,2026-03-16T06:45:49+00:00,,73660.05,73827.95,invalidated_or_expired,,LONG because absorb score 0.629 (bid absorbed sells); range compression observed; 69 defense cycles seen; zone defended for 1785 s; OFI score 0.061 (buy-side)
2026-03-16,BTC-USDT-SWAP-SHORT-1773647103000-18,SHORT,trigger,HIGH,8,2026-03-16T07:59:28+00:00,2026-03-16T08:31:28+00:00,73352.05,73499.95,failed_triggered,False,SHORT because aggressive buying pressure 0.612 (absorbed); absorb score 0.673 (ask absorbed buys); range compression observed; 46 defense cycles seen; zone defended for 865 s; OFI score 0.385 (WARNING: buy-side); trigger flow multiplier 1.40x; break 0.109% below zone
